site_id,country,n_pares,mediana_ratio,pct_falla_aa,tiene_fallo_critico,axe_color_contrast_violations,axe_color_contrast_passes
U0141,Colombia,106,6.444861911591939,25.471698113207548,True,24,133
U0143,El Salvador,114,7.334918614165544,13.157894736842104,True,26,139
U0145,Nicaragua,97,7.667570314182529,41.23711340206185,True,10,116
U0149,Chile,296,2.347990482001024,59.797297297297305,True,4,134
U0153,Brazil,105,14.202576001587136,0.9523809523809524,True,3,144
U0154,Nicaragua,62,7.9069893995925105,41.935483870967744,True,5,65
U0155,Uruguay,471,8.125275155857459,35.6687898089172,True,16,170
U0156,Cuba,179,4.478089453577214,58.659217877094974,True,64,134
U0158,Panama,127,8.130979168791868,14.173228346456693,True,42,198
U0159,Chile,3,17.90028945328983,33.33333333333333,True,3,3
U0161,Nicaragua,81,9.739769120526203,33.33333333333333,True,7,75
U0162,Mexico,156,10.356628817352512,4.487179487179487,True,6,292
U0164,Guatemala,190,10.368377760269818,17.894736842105264,True,25,177
U0167,Dominican Republic,52,6.627896456801119,40.38461538461539,True,17,57
U0168,Colombia,77,11.404551043803874,22.07792207792208,True,13,117
U0169,El Salvador,118,9.415272356871004,22.033898305084744,True,14,136
U0176,Chile,161,4.900409267024044,34.161490683229815,True,79,216
U0177,Peru,8,13.008985262399184,0.0,False,0,16
U0186,Argentina,244,7.583068310370933,14.754098360655737,True,37,212
U0187,Argentina,128,8.067828039007114,15.625,True,43,127
U0188,Colombia,173,13.563419530681465,13.294797687861271,True,6,264
U0190,El Salvador,76,7.705541351201764,34.21052631578947,True,8,76
U0193,Costa Rica,96,15.343614117035226,1.0416666666666665,True,0,139
U0197,Peru,204,4.673921135047557,41.66666666666667,True,11,117
U0198,Colombia,171,6.367145654157693,4.678362573099415,True,0,0
U0200,Dominican Republic,114,3.5097171810450445,65.78947368421053,True,17,85
U0201,Colombia,114,7.1285857777549655,35.96491228070175,True,23,119
U0209,Colombia,153,8.837447092111276,1.9607843137254901,True,22,107
U0211,Cuba,96,6.367033237616676,35.41666666666667,True,30,112
U0212,Brazil,293,13.637502236338236,0.6825938566552902,True,2,172
U0213,Colombia,212,7.067947378659045,12.264150943396226,True,13,136
U0214,Panama,56,10.560631168634162,14.285714285714285,True,11,118
